time,gps_sod,dE_m,dN_m,dU_m,d3_m,clock_m,trop_m,n_sat,ph_res_std_m
2024-05-01T00:00:00,767793600.000000,0.1615,3.1161,-5.5643,6.3795,-5.1913,0.9292,9,0.0087
2024-05-01T00:00:30,767793630.000000,0.1586,3.2369,-5.3353,6.2424,-5.1975,0.9595,9,0.0192
2024-05-01T00:01:00,767793660.000000,0.1476,3.2329,-4.9584,5.9211,-5.0296,0.9574,9,0.0290
2024-05-01T00:01:30,767793690.000000,0.1354,3.3311,-4.7168,5.7761,-5.0218,0.9877,8,0.0287
2024-05-01T00:02:00,767793720.000000,0.1388,3.4601,-4.5362,5.7069,-5.0646,1.0221,7,0.0330
2024-05-01T00:02:30,767793750.000000,0.1396,3.4954,-4.2619,5.5137,-4.9797,1.0305,7,0.0409
2024-05-01T00:03:00,767793780.000000,-0.0733,1.7163,-1.3456,2.1821,-1.4312,0.2037,9,0.2141
2024-05-01T00:03:30,767793810.000000,-0.0697,1.5895,-1.1302,1.9516,-1.2909,0.1835,9,0.1976
2024-05-01T00:04:00,767793840.000000,-0.0159,-0.0476,0.4467,0.4495,0.3175,-0.0217,9,0.2869
2024-05-01T00:04:30,767793870.000000,-0.0389,-0.0878,0.4391,0.4495,0.3317,-0.0319,10,0.2544
2024-05-01T00:05:00,767793900.000000,-0.0398,-0.1183,0.4245,0.4424,0.3524,-0.0413,9,0.2312
2024-05-01T00:05:30,767793930.000000,-0.0482,-0.1346,0.4195,0.4432,0.3530,-0.0468,9,0.2130
2024-05-01T00:06:00,767793960.000000,-0.0516,-0.1572,0.4017,0.4344,0.3582,-0.0531,9,0.1859
2024-05-01T00:06:30,767793990.000000,-0.0497,-0.1747,0.3978,0.4373,0.3705,-0.0587,9,0.1651
2024-05-01T00:07:00,767794020.000000,-0.0442,-0.1944,0.3945,0.4420,0.3745,-0.0633,9,0.1520
2024-05-01T00:07:30,767794050.000000,-0.0256,-0.2034,0.3658,0.4193,0.3620,-0.0660,9,0.1356
2024-05-01T00:08:00,767794080.000000,0.0077,-0.2079,0.3136,0.3764,0.3045,-0.0588,8,0.1294
2024-05-01T00:08:30,767794110.000000,0.6973,-0.2701,-0.8592,1.1390,-1.2532,0.1943,9,0.6929
2024-05-01T00:09:00,767794140.000000,0.0350,-0.2243,0.2726,0.3547,0.2542,-0.0528,9,0.0923
2024-05-01T00:09:30,767794170.000000,0.0730,-0.2308,0.2212,0.3279,0.2119,-0.0516,9,0.0838
2024-05-01T00:10:00,767794200.000000,0.1120,-0.2148,0.1634,0.2922,0.1273,-0.0385,9,0.0859
