time,gps_sod,dE_m,dN_m,dU_m,d3_m,dX_m,dY_m,dZ_m,X_est,Y_est,Z_est,X_ref,Y_ref,Z_ref,clock,trop_wet,n_sat
2024-04-29T00:00:02,767620820.000000,-73.5309,3255.0170,-7697.6545,8357.8961,1377.0300,3346.6023,-7533.8216,-129863.0885,-298053.0818,6841258.4696,-131240.1184,-301399.6841,6848792.2913,-190512.110406,2820.266036,9
2024-04-29T00:00:32,767620850.000000,95.7860,-392.4032,-26062.6538,26065.7837,516.4419,1596.1216,-26011.7428,-137862.7621,-527517.1577,6808767.7409,-138379.2039,-529113.2792,6834779.4837,-605054.926223,4292.058903,10
2024-04-29T00:01:02,767620880.000000,-983.4274,-1920.3530,-25832.3327,25922.2742,-780.0951,1144.8630,-25885.2282,-147140.7866,-755065.9066,6787296.7569,-146360.6915,-756210.7696,6813181.9851,-937057.938058,3476.075403,11
2024-04-29T00:01:32,767620910.000000,-1451.5244,-2188.3287,-23064.3982,23213.4049,-1252.7864,1372.1884,-23138.9238,-156425.3087,-981066.0100,6760884.3798,-155172.5224,-982438.1984,6784023.3035,-1180762.584274,3373.632304,11
2024-04-29T00:02:02,767620940.000000,-1898.1134,-2245.6249,-19449.9767,19670.9750,-1714.8820,1471.5166,-19540.7543,-166515.4952,-1206071.0675,6727794.5071,-164800.6132,-1207542.5841,6747335.2614,-1319040.881620,2984.875102,11
2024-04-29T00:02:32,767620970.000000,-2339.1520,-3533.6705,-38959.1948,39188.9949,-1751.9914,4938.5942,-38837.0716,-176980.8669,-1426333.6080,6664320.8918,-175228.8755,-1431272.2022,6703157.9634,-1896216.101087,10017.949539,11
2024-04-29T00:03:02,767621000.000000,-2818.4870,-2977.3611,-35598.3232,35833.6317,-2162.1869,5978.5959,-35265.1457,-188601.4241,-1647398.2679,6616274.6083,-186439.2371,-1653376.8638,6651539.7540,-2382407.496061,9691.081229,10
2024-04-29T00:03:32,767621030.000000,-3261.7235,-2309.1573,-31727.5505,31978.2505,-2564.6597,6754.6212,-31151.3422,-200976.3307,-1866853.5690,6561385.8256,-198411.6711,-1873608.1901,6592537.1678,-2763356.030064,9047.794206,10
2024-04-29T00:04:02,767621060.000000,-3663.8431,-1631.4701,-27508.8655,27799.6965,-2959.0780,7166.9154,-26696.4849,-214083.3056,-2084552.9727,6499518.3916,-211124.2276,-2091719.8881,6526214.8765,-3027810.585622,8133.858412,10
2024-04-29T00:04:32,767621090.000000,-4018.7242,-1041.3849,-23005.9991,23377.5666,-3345.5148,7112.8638,-22016.4784,-227898.5826,-2300355.1647,6430629.1476,-224553.0679,-2307468.0285,6452645.6260,-3166136.729874,6985.613275,10
2024-04-29T00:05:02,767621120.000000,-1595.0021,-6020.6047,20451.5767,21378.9313,-2823.8636,-12902.6145,16810.9202,-241496.3623,-2533513.9370,6388721.0801,-238672.4987,-2520611.3225,6371910.1599,-2079729.023259,-11118.786905,10
2024-04-29T00:05:32,767621150.000000,-1646.5258,-7373.7998,24849.2433,25972.4636,-3178.4046,-16429.3505,19863.1077,-256633.4143,-2747340.7400,6303960.2394,-253455.0097,-2730911.3895,6284097.1317,-862477.438572,-12352.468842,10
2024-04-29T00:06:02,767621180.000000,-1954.3762,-7994.2332,24994.0316,26314.0451,-3579.7581,-17672.3760,19165.1096,-272451.0736,-2955805.3937,6208468.1235,-268871.3155,-2938133.0178,6189303.0138,358543.480300,-11631.812136,10
2024-04-29T00:06:32,767621210.000000,-4468.2441,7282.4278,6708.7512,10863.0706,-4142.7487,3792.0290,9298.6263,-289033.1515,-3138252.3977,6096930.6310,-284890.4028,-3142044.4267,6087632.0047,889939.195783,1860.405329,11
2024-04-29T00:07:02,767621240.000000,-4152.3175,7156.1143,17485.6110,19344.2060,-4339.2879,-1886.0007,18756.6492,-305818.8680,-3344303.5313,5997952.5705,-301479.5801,-3342417.5306,5979195.9213,1697949.561084,-1266.928480,11
2024-04-29T00:07:32,767621270.000000,-3653.0674,6657.3892,29083.5534,30058.5896,-4472.2351,-8935.1321,28349.2740,-323076.7643,-3547963.3256,5892463.3550,-318604.5292,-3539028.1935,5864114.0810,2804227.110000,-4796.167562,11
2024-04-29T00:08:02,767621300.000000,-3309.3268,6167.7746,37582.2075,38228.4633,-4666.4107,-14912.8690,34889.0578,-340895.7690,-3746569.3452,5777402.2375,-336229.3583,-3731656.4763,5742513.1797,4124222.885263,-7183.615177,9
2024-04-29T00:08:32,767621330.000000,-3320.4911,6203.5264,40998.6572,41598.0684,-4958.5205,-17973.0655,37185.7673,-359275.1793,-3938059.9488,5651712.9362,-354316.6588,-3920086.8833,5614527.1689,5520661.992787,-7737.036907,9
2024-04-29T00:09:02,767621360.000000,-3572.5815,6728.5143,41203.0219,41901.3754,-5301.7233,-18872.5606,37033.0048,-378129.2881,-4122981.1713,5517330.1296,-372827.5648,-4104108.6106,5480297.1247,6906818.680008,-7214.099924,9
2024-04-29T00:09:32,767621390.000000,-4006.7244,7620.1335,39318.7787,40250.2998,-5686.0239,-18180.4789,35457.3822,-397407.8420,-4301696.2700,5375428.4881,-391721.8181,-4283515.7911,5339971.1059,8226584.327457,-6066.714858,9
2024-04-29T00:10:02,767621420.000000,-4286.9774,8456.0025,38330.5758,39485.6327,-5968.4303,-18043.3790,34611.1182,-416926.2666,-4476151.1136,5228315.1198,-410957.8363,-4458107.7345,5193704.0016,9503694.206126,-5459.430170,9
2024-04-29T00:10:32,767621450.000000,-4855.6365,9426.8904,30817.5370,32590.8585,-6119.1529,-13357.1211,29091.3620,-436611.9350,-4641046.2845,5070748.7344,-430492.7821,-4627689.1634,5041657.3724,10548676.414542,-1849.764309,8
2024-04-29T00:11:02,767621480.000000,-5313.0212,10404.4133,29564.4525,31788.9425,-6529.5598,-12697.7741,28401.9057,-456812.1950,-4804768.2195,4912401.1861,-450282.6352,-4792070.4454,4883999.2804,11546279.622795,-1664.742216,8
2024-04-29T00:11:32,767621510.000000,-4088.7241,13308.3271,-44434.0721,46564.1063,-162.8145,41525.1926,-21067.6974,-470445.0819,-4909542.6267,4699836.4113,-470282.2674,-4951067.8193,4720904.1087,10316986.474890,37322.871439,7
