time,dE_m,dN_m,dU_m,d3_m,n_sat
2024-05-20T00:00:30,-0.0051,-0.0037,-0.1593,0.1594,6
2024-05-20T00:01:00,-0.0003,-0.0072,-0.0999,0.1002,6
2024-05-20T00:01:30,0.0039,0.0157,0.1828,0.1835,6
2024-05-20T00:02:00,-0.0006,0.0008,-0.0091,0.0091,7
2024-05-20T00:02:30,-0.0009,0.0131,0.0229,0.0263,7
2024-05-20T00:03:00,0.0032,-0.0041,0.0368,0.0372,7
2024-05-20T00:03:30,0.0027,-0.0025,0.0042,0.0056,8
2024-05-20T00:04:00,-0.0015,0.0058,-0.0151,0.0163,8
2024-05-20T00:04:30,0.0026,-0.0042,0.0136,0.0144,8
2024-05-20T00:05:00,-0.0042,-0.0015,-0.0364,0.0367,8
2024-05-20T00:05:30,0.0000,0.0061,-0.0263,0.0270,8
2024-05-20T00:06:00,-0.0002,0.0013,-0.0144,0.0145,8
2024-05-20T00:06:30,0.0018,-0.0009,-0.0392,0.0393,8
2024-05-20T00:07:00,0.0013,-0.0029,-0.0508,0.0509,8
2024-05-20T00:07:30,0.0064,0.0144,0.1414,0.1423,8
2024-05-20T00:08:00,-0.0012,-0.0086,-0.0988,0.0992,8
2024-05-20T00:08:30,-0.0012,-0.0008,-0.0083,0.0084,8
2024-05-20T00:09:00,-0.0044,0.0021,0.0329,0.0333,8
2024-05-20T00:09:30,0.0008,-0.0149,-0.0817,0.0831,8
2024-05-20T00:10:00,-0.0025,0.0162,0.1517,0.1526,8
2024-05-20T00:10:30,-0.0065,-0.0007,-0.0257,0.0265,8
2024-05-20T00:11:00,-0.0030,-0.0099,-0.4091,0.4092,9
2024-05-20T00:11:30,0.0002,nan,nan,nan,21
2024-05-20T00:12:00,-0.0006,nan,nan,nan,21
2024-05-20T00:12:30,-0.0004,nan,nan,nan,21
2024-05-20T00:13:00,-0.0009,nan,nan,nan,21
2024-05-20T00:13:30,0.0003,nan,nan,nan,21
2024-05-20T00:14:00,-0.0029,0.0070,0.0581,0.0586,8
2024-05-20T00:14:30,0.0034,0.0008,0.0091,0.0097,8
2024-05-20T00:15:00,-0.0024,0.0034,0.0278,0.0281,8
2024-05-20T00:15:30,0.0010,0.0008,-0.0071,0.0072,9
2024-05-20T00:16:00,-0.0016,0.0000,0.0062,0.0064,9
2024-05-20T00:16:30,-0.0034,0.0034,0.0294,0.0298,9
2024-05-20T00:17:00,0.0026,-0.0005,-0.0048,0.0055,9
2024-05-20T00:17:30,0.0016,0.0011,-0.0073,0.0076,9
2024-05-20T00:18:00,-0.0018,-0.0002,0.0087,0.0089,9
2024-05-20T00:18:30,-0.0036,-0.0036,0.0110,0.0121,9
2024-05-20T00:19:00,-0.0030,0.0033,0.0150,0.0157,8
2024-05-20T00:19:30,-0.0008,-0.0015,0.0157,0.0158,8
2024-05-20T00:20:00,-0.0031,-0.0011,0.0227,0.0230,8
2024-05-20T00:20:30,-0.0060,-0.0022,0.0189,0.0200,8
2024-05-20T00:21:00,0.0162,0.0047,-0.0666,0.0687,8
2024-05-20T00:21:30,-0.0148,-0.0004,0.0597,0.0615,8
2024-05-20T00:22:00,-0.0043,-0.0007,0.0156,0.0162,7
2024-05-20T00:22:30,-0.0005,0.0000,0.0172,0.0172,6
2024-05-20T00:23:00,-0.0040,-0.0054,0.0229,0.0239,6
2024-05-20T00:23:30,-0.0006,-0.0021,0.0093,0.0096,6
2024-05-20T00:24:00,-0.0026,0.0054,0.0052,0.0079,6
2024-05-20T00:24:30,-0.0043,0.0018,0.0158,0.0165,8
2024-05-20T00:25:00,0.0149,-0.0070,-0.0206,0.0264,8
2024-05-20T00:25:30,-0.0034,-0.0011,0.0092,0.0098,7
2024-05-20T00:26:00,0.0001,-0.0055,-0.0092,0.0107,7
2024-05-20T00:26:30,0.0027,0.0019,-0.0129,0.0133,7
2024-05-20T00:27:00,0.0041,0.0024,-0.0119,0.0128,7
2024-05-20T00:27:30,-0.0074,-0.0033,0.0415,0.0422,6
2024-05-20T00:28:00,-0.0038,0.0001,0.0036,0.0052,6
2024-05-20T00:28:30,-0.0031,0.0072,0.0830,0.0834,6
2024-05-20T00:29:00,0.0010,0.0107,-0.0073,0.0130,5
2024-05-20T00:29:30,0.0008,0.0066,0.0012,0.0067,5
2024-05-20T00:30:00,0.0028,-0.0016,0.0052,0.0061,5
2024-05-20T00:30:30,-0.0033,-0.0026,0.0510,0.0512,4
2024-05-20T00:31:00,0.0058,0.0038,-0.0042,0.0081,4
2024-05-20T00:31:30,-0.0050,-0.0019,0.0744,0.0746,4
2024-05-20T00:32:00,0.0004,-0.0006,0.0460,0.0460,6
2024-05-20T00:32:30,-0.0061,0.0017,-0.0465,0.0469,6
2024-05-20T00:33:00,0.0037,0.0017,0.0011,0.0042,6
2024-05-20T00:33:30,-0.0034,-0.0016,-0.0006,0.0038,6
2024-05-20T00:34:00,0.0025,-0.0007,-0.0055,0.0061,6
2024-05-20T00:34:30,-0.0033,0.0016,-0.0303,0.0305,6
2024-05-20T00:35:00,0.0021,0.0013,0.0100,0.0103,6
2024-05-20T00:35:30,-0.0056,-0.0036,0.0785,0.0787,7
2024-05-20T00:36:00,0.0061,-0.0011,-0.0120,0.0135,7
2024-05-20T00:36:30,-0.0007,-0.0002,-0.0352,0.0352,7
2024-05-20T00:37:00,0.0003,-0.0012,0.0176,0.0176,7
2024-05-20T00:37:30,0.0040,0.0032,-0.0256,0.0261,7
2024-05-20T00:38:00,-0.0064,-0.0041,0.0064,0.0099,7
2024-05-20T00:38:30,-0.0016,-0.0036,0.0150,0.0155,7
2024-05-20T00:39:00,-0.0633,-0.0131,-0.4018,0.4070,7
2024-05-20T00:39:30,-0.0506,-0.0053,-0.3297,0.3336,6
2024-05-20T00:40:00,0.0313,-0.0013,0.1605,0.1635,5
2024-05-20T00:40:30,0.0134,0.0022,0.0567,0.0583,5
2024-05-20T00:41:00,0.0117,0.0009,-0.0065,0.0134,5
2024-05-20T00:41:30,0.0113,0.0033,0.0029,0.0121,5
2024-05-20T00:42:00,-0.0119,0.0069,0.0348,0.0375,5
2024-05-20T00:42:30,0.0075,-0.0118,-0.0981,0.0991,5
2024-05-20T00:43:00,-0.0072,0.0009,0.0384,0.0391,6
2024-05-20T00:43:30,-0.0063,0.0042,0.0233,0.0245,6
2024-05-20T00:44:00,0.0291,0.0014,-0.0230,0.0371,6
2024-05-20T00:44:30,0.0161,-0.0028,-0.0080,0.0182,6
2024-05-20T00:45:00,-0.0063,0.0004,0.0129,0.0143,5
2024-05-20T00:45:30,0.0001,-0.0005,-0.0258,0.0258,5
2024-05-20T00:46:00,0.0026,0.0003,0.0037,0.0046,5
2024-05-20T00:46:30,0.0001,-0.0005,-0.0169,0.0169,5
2024-05-20T00:47:00,0.0002,-0.0005,0.0067,0.0067,5
2024-05-20T00:47:30,7590.5622,100405.7796,-18646.1999,102404.1893,5
2024-05-20T00:48:00,11728.7928,129443.0132,-34625.4621,134506.4344,5
2024-05-20T00:48:30,13342.7240,126111.6409,-44673.3112,134454.0032,4
2024-05-20T00:49:30,0.0018,-0.0058,-0.0472,0.0476,4
2024-05-20T00:50:00,-0.0047,-0.0161,-0.0033,0.0171,4
2024-05-20T00:50:30,-0.0148,-0.0477,0.0584,0.0768,4
2024-05-20T00:51:00,0.0072,0.0232,-0.0123,0.0272,4
2024-05-20T00:51:30,0.0037,0.0018,-0.0196,0.0200,5
2024-05-20T00:52:00,0.0028,0.0173,0.0094,0.0198,7
2024-05-20T00:52:30,-0.0041,-0.0106,0.0798,0.0806,7
2024-05-20T00:53:00,0.0035,0.0081,-0.0280,0.0294,7
2024-05-20T00:53:30,-0.0037,-0.0065,0.0497,0.0502,7
2024-05-20T00:54:00,0.0007,0.0008,0.0111,0.0111,8
2024-05-20T00:54:30,-0.0015,-0.0055,0.0217,0.0224,8
2024-05-20T00:55:00,-0.0012,-0.0076,0.0035,0.0085,8
2024-05-20T00:55:30,0.0027,0.0007,-0.0059,0.0066,8
2024-05-20T00:56:00,0.0005,-0.0056,0.0556,0.0559,8
2024-05-20T00:56:30,-0.0044,-0.0039,0.0326,0.0331,8
2024-05-20T00:57:00,-0.0021,-0.0038,0.0246,0.0250,8
2024-05-20T00:57:30,-0.0027,-0.0055,-0.0190,0.0200,9
2024-05-20T00:58:00,0.0035,0.0045,-0.0800,0.0802,9
2024-05-20T00:58:30,0.0020,nan,nan,nan,21
2024-05-20T00:59:00,0.0002,nan,nan,nan,21
2024-05-20T00:59:30,0.0000,nan,nan,nan,21
2024-05-20T01:00:00,0.0001,nan,nan,nan,21
2024-05-20T01:00:30,-0.0016,nan,nan,nan,21
