time,gps_sod,dE_m,dN_m,dU_m,d3_m,clock_m,trop_m,n_sat,ph_res_std_m,n_B_sv
2024-04-29T00:00:00,767620800.000000,0.4412,0.1591,-0.0599,0.4728,0.0000,-0.2088,9,0.1632,9
2024-04-29T00:00:30,767620830.000000,0.2564,-0.3291,0.0317,0.4184,0.0000,-0.1602,9,0.1545,9
2024-04-29T00:01:00,767620860.000000,0.1455,-0.3283,0.0474,0.3622,0.0000,-0.1543,9,0.3316,9
2024-04-29T00:01:30,767620890.000000,0.1132,-0.3132,0.0339,0.3348,0.0000,-0.1441,9,0.1020,9
2024-04-29T00:02:00,767620920.000000,0.1330,-0.3025,0.0297,0.3318,0.0000,-0.1421,9,0.2659,9
2024-04-29T00:02:30,767620950.000000,0.1633,-0.3211,0.0498,0.3637,0.0000,-0.1362,11,0.2266,9
2024-04-29T00:03:00,767620980.000000,0.1816,-0.3386,0.0849,0.3935,0.0000,-0.1277,11,0.2330,9
2024-04-29T00:03:30,767621010.000000,0.1849,-0.3309,0.0734,0.3861,0.0000,-0.1190,11,0.2038,11
2024-04-29T00:04:00,767621040.000000,0.1941,-0.3560,0.0675,0.4111,0.0000,-0.1166,11,0.1124,11
2024-04-29T00:04:30,767621070.000000,0.1953,-0.3601,0.0676,0.4152,0.0000,-0.1136,11,0.1218,11
2024-04-29T00:05:00,767621100.000000,0.2018,-0.3660,0.0828,0.4261,0.0000,-0.1119,11,0.4373,11
2024-04-29T00:05:30,767621130.000000,0.1873,-0.3621,0.1118,0.4227,0.0000,-0.1070,11,0.1369,11
2024-04-29T00:06:00,767621160.000000,0.1801,-0.3541,0.0879,0.4069,0.0000,-0.1095,10,0.1596,11
2024-04-29T00:06:30,767621190.000000,0.1824,-0.3979,0.0948,0.4479,0.0000,-0.1155,10,0.1040,11
2024-04-29T00:07:00,767621220.000000,0.1576,-0.4014,0.0656,0.4362,0.0000,-0.1170,10,0.2692,11
2024-04-29T00:07:30,767621250.000000,0.1436,-0.4289,0.0314,0.4534,0.0000,-0.1169,10,0.1377,11
2024-04-29T00:08:00,767621280.000000,0.1476,-0.4105,0.0265,0.4370,0.0000,-0.1136,11,0.1009,11
2024-04-29T00:08:30,767621310.000000,0.1530,-0.4055,0.0249,0.4341,0.0000,-0.1106,11,0.2824,11
2024-04-29T00:09:00,767621340.000000,0.1516,-0.4092,0.0225,0.4369,0.0000,-0.1068,11,0.4489,12
2024-04-29T00:09:30,767621370.000000,0.1447,-0.4061,0.0313,0.4322,0.0000,-0.1061,10,0.3902,12
2024-04-29T00:10:00,767621400.000000,0.1433,-0.4141,0.0207,0.4386,0.0000,-0.1070,10,0.3855,12
2024-04-29T00:10:30,767621430.000000,0.1407,-0.4254,0.0210,0.4486,0.0000,-0.1070,9,0.4740,12
2024-04-29T00:11:00,767621460.000000,0.1326,-0.4250,0.0103,0.4453,0.0000,-0.1051,9,0.8173,11
2024-04-29T00:11:30,767621490.000000,0.1330,-0.4575,0.0073,0.4765,0.0000,-0.1010,9,0.3845,11
2024-04-29T00:12:00,767621520.000000,0.1388,-0.4816,0.0018,0.5012,0.0000,-0.0991,9,0.2072,11
2024-04-29T00:12:30,767621550.000000,0.2235,-0.5943,0.0257,0.6355,0.0000,-0.0872,9,0.1213,11
2024-04-29T00:13:00,767621580.000000,0.1985,-0.6025,0.0310,0.6351,0.0000,-0.0802,9,0.2652,11
2024-04-29T00:13:30,767621610.000000,0.1616,-0.6491,0.0340,0.6698,0.0000,-0.0774,8,0.5653,11
2024-04-29T00:14:00,767621640.000000,0.1157,-0.6497,0.0219,0.6603,0.0000,-0.0772,7,0.0382,11
2024-04-29T00:14:30,767621670.000000,0.0660,-0.6238,0.0049,0.6273,0.0000,-0.0791,6,0.0931,10
2024-04-29T00:15:00,767621700.000000,-0.0090,-0.5580,-0.0373,0.5593,0.0000,-0.0784,6,0.0819,10
