time,gps_sod,dE_m,dN_m,dU_m,d3_m,clock_m,trop_m,Cd,CR,aR,aT,aN,n_sat,ph_res_std_m,n_B_sv
2024-04-30T00:00:00,767707200.000000,0.2530,1.0704,-0.3039,1.1411,0.0000,-0.0034,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,10,0.2093,10
2024-04-30T00:00:30,767707230.000000,0.2176,0.9221,-0.4770,1.0607,0.0000,-0.0165,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,9,0.2064,10
2024-04-30T00:01:00,767707260.000000,0.1591,0.8001,-0.5639,0.9917,0.0000,-0.0220,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.2558,10
2024-04-30T00:01:30,767707290.000000,0.1767,0.6497,-0.6596,0.9426,0.0000,-0.0343,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.7138,10
2024-04-30T00:02:00,767707320.000000,0.1423,0.5386,-0.7151,0.9065,0.0000,-0.0375,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.1448,10
2024-04-30T00:02:30,767707350.000000,0.0916,0.4219,-0.7358,0.8531,0.0000,-0.0376,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,9,0.3188,10
2024-04-30T00:03:00,767707380.000000,0.0623,0.3376,-0.7598,0.8337,0.0000,-0.0426,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,9,0.2801,10
2024-04-30T00:03:30,767707410.000000,0.0242,0.2635,-0.7958,0.8387,0.0000,-0.0465,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,9,0.3536,11
2024-04-30T00:04:00,767707440.000000,-0.0073,0.1843,-0.7892,0.8105,0.0000,-0.0480,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,9,0.1822,11
2024-04-30T00:04:30,767707470.000000,-0.0346,0.0928,-0.7832,0.7895,0.0000,-0.0512,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,9,0.3559,11
2024-04-30T00:05:00,767707500.000000,-0.0673,0.0282,-0.7715,0.7749,0.0000,-0.0522,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,10,0.2546,11
2024-04-30T00:05:30,767707530.000000,-0.1868,0.0440,-0.7631,0.7869,0.0000,-0.0581,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,10,0.2239,10
2024-04-30T00:06:00,767707560.000000,-0.2032,0.0052,-0.7449,0.7722,0.0000,-0.0570,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,10,0.7596,10
2024-04-30T00:06:30,767707590.000000,-0.2104,-0.0563,-0.7166,0.7490,0.0000,-0.0559,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,10,0.3498,10
2024-04-30T00:07:00,767707620.000000,-0.2174,-0.0923,-0.6649,0.7056,0.0000,-0.0535,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.5155,10
2024-04-30T00:07:30,767707650.000000,-0.2297,-0.1057,-0.6088,0.6593,0.0000,-0.0488,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.5641,10
2024-04-30T00:08:00,767707680.000000,-0.2570,-0.1110,-0.5827,0.6464,0.0000,-0.0473,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,9,0.4275,10
2024-04-30T00:08:30,767707710.000000,-0.2656,-0.1311,-0.5491,0.6239,0.0000,-0.0447,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.0988,10
2024-04-30T00:09:00,767707740.000000,-0.2581,-0.1912,-0.4935,0.5888,0.0000,-0.0394,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.1414,11
2024-04-30T00:09:30,767707770.000000,-0.2581,-0.2287,-0.4611,0.5758,0.0000,-0.0370,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.0548,11
2024-04-30T00:10:00,767707800.000000,-0.2732,-0.2809,-0.4390,0.5884,0.0000,-0.0358,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.2986,11
2024-04-30T00:10:30,767707830.000000,-0.2700,-0.3015,-0.3847,0.5584,0.0000,-0.0313,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.3091,11
2024-04-30T00:11:00,767707860.000000,-0.2539,-0.3307,-0.3138,0.5218,0.0000,-0.0271,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.1986,11
2024-04-30T00:11:30,767707890.000000,-0.2379,-0.3187,-0.2581,0.4741,0.0000,-0.0252,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,7,0.1828,11
2024-04-30T00:12:00,767707920.000000,-0.2276,-0.3350,-0.2075,0.4551,0.0000,-0.0257,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,7,0.3562,9
2024-04-30T00:12:30,767707950.000000,-0.2128,-0.3336,-0.1439,0.4211,0.0000,-0.0229,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,7,0.1899,9
2024-04-30T00:13:00,767707980.000000,-0.1890,-0.3309,-0.0794,0.3893,0.0000,-0.0201,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.2236,9
2024-04-30T00:13:30,767708010.000000,-0.1755,-0.3203,-0.0412,0.3676,0.0000,-0.0190,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.2473,8
2024-04-30T00:14:00,767708040.000000,-0.1560,-0.3197,0.0089,0.3558,0.0000,-0.0176,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.5255,9
2024-04-30T00:14:30,767708070.000000,-0.1426,-0.3063,0.0668,0.3444,0.0000,-0.0143,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,8,0.3433,9
2024-04-30T00:15:00,767708100.000000,-0.1294,-0.3124,0.1157,0.3574,0.0000,-0.0131,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,9,0.3565,9
2024-04-30T00:15:30,767708130.000000,-0.1287,-0.3216,0.1499,0.3775,0.0000,-0.0126,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,9,0.3395,9
2024-04-30T00:16:00,767708160.000000,-0.1036,-0.3552,0.2264,0.4338,0.0000,-0.0063,2.2000,1.3000,0.00e+00,0.00e+00,0.00e+00,9,0.3255,10
