time,gps_sod,dE_m,dN_m,dU_m,d3_m,clock_m,trop_m,n_sat,ph_res_std_m,n_B_sv
2024-04-29T00:00:00,767620800.000000,-0.0040,-0.2091,-1.9215,1.9329,-2.0044,0.4667,9,0.1518,9
2024-04-29T00:00:30,767620830.000000,-0.0459,-0.1973,-1.9511,1.9616,-1.6063,0.2110,9,0.0319,9
2024-04-29T00:01:00,767620860.000000,-0.0025,-0.1700,-1.4192,1.4294,-0.9849,0.0358,10,0.1057,10
2024-04-29T00:01:30,767620890.000000,-0.0179,-0.2284,-1.3320,1.3515,-1.0129,0.0883,11,0.1037,10
2024-04-29T00:02:00,767620920.000000,0.0272,-0.2371,-1.0766,1.1027,-0.8552,0.0841,11,0.2015,10
2024-04-29T00:02:30,767620950.000000,0.0770,-0.2786,-1.1052,1.1424,-0.9509,0.1245,11,0.1224,11
2024-04-29T00:03:00,767620980.000000,0.0973,-0.3535,-1.3275,1.3772,-1.1621,0.1559,11,0.1286,11
2024-04-29T00:03:30,767621010.000000,0.1136,-0.3995,-1.2810,1.3467,-1.1152,0.1455,11,0.3198,11
2024-04-29T00:04:00,767621040.000000,0.1202,-0.4490,-1.2202,1.3058,-1.0824,0.1433,11,0.1430,11
2024-04-29T00:04:30,767621070.000000,0.1362,-0.4620,-1.1393,1.2369,-1.0186,0.1330,10,0.1748,11
2024-04-29T00:05:00,767621100.000000,0.1450,-0.4865,-1.0861,1.1989,-1.0073,0.1339,10,0.1188,11
2024-04-29T00:05:30,767621130.000000,0.1490,-0.5202,-1.0620,1.1919,-1.0204,0.1369,10,0.1297,11
2024-04-29T00:06:00,767621160.000000,0.1437,-0.5416,-1.0308,1.1732,-1.0059,0.1359,10,0.1323,11
2024-04-29T00:06:30,767621190.000000,0.1381,-0.5710,-1.0353,1.1904,-1.0057,0.1313,10,0.2378,11
2024-04-29T00:07:00,767621220.000000,0.1232,-0.5927,-1.0037,1.1722,-0.9580,0.1185,11,0.2597,11
2024-04-29T00:07:30,767621250.000000,0.1196,-0.6195,-0.9466,1.1376,-0.9023,0.1108,11,0.3225,11
2024-04-29T00:08:00,767621280.000000,0.1284,-0.5817,-0.8488,1.0370,-0.8358,0.1074,11,0.4567,12
2024-04-29T00:08:30,767621310.000000,0.1348,-0.5819,-0.7987,0.9974,-0.8014,0.1013,10,0.3622,12
2024-04-29T00:09:00,767621340.000000,0.1312,-0.6051,-0.7471,0.9703,-0.7707,0.0994,10,0.2072,12
2024-04-29T00:09:30,767621370.000000,0.1457,-0.6469,-0.7398,0.9935,-0.7861,0.0997,10,0.5124,11
2024-04-29T00:10:00,767621400.000000,0.1402,-0.6907,-0.7299,1.0146,-0.7917,0.0972,9,0.2541,11
2024-04-29T00:10:30,767621430.000000,0.1357,-0.7356,-0.7097,1.0311,-0.7998,0.0957,9,0.1255,11
2024-04-29T00:11:00,767621460.000000,0.1365,-0.7711,-0.6977,1.0488,-0.8069,0.0942,9,0.2597,11
2024-04-29T00:11:30,767621490.000000,0.1352,-0.8103,-0.6595,1.0535,-0.7940,0.0931,9,0.1009,11
2024-04-29T00:12:00,767621520.000000,0.1393,-0.8263,-0.5852,1.0221,-0.7487,0.0881,9,0.1197,11
2024-04-29T00:12:30,767621550.000000,0.1510,-0.8811,-0.5672,1.0587,-0.7637,0.0877,9,0.5791,11
2024-04-29T00:13:00,767621580.000000,0.1097,-0.8752,-0.4322,0.9823,-0.6772,0.0876,8,0.5622,11
2024-04-29T00:13:30,767621610.000000,0.0779,-0.9081,-0.3605,0.9801,-0.6326,0.0810,8,0.4900,10
2024-04-29T00:14:00,767621640.000000,0.0420,-0.9693,-0.3305,1.0250,-0.6266,0.0775,8,0.0369,10
2024-04-29T00:14:30,767621670.000000,0.0214,-1.0191,-0.2852,1.0585,-0.6242,0.0764,8,0.1488,10
2024-04-29T00:15:00,767621700.000000,0.0034,-0.9880,-0.1589,1.0007,-0.5311,0.0757,8,0.1107,9
2024-04-29T00:15:30,767621730.000000,-0.0388,-1.0046,-0.1634,1.0185,-0.5585,0.0741,7,0.2774,9
2024-04-29T00:16:00,767621760.000000,-0.1029,-0.7786,-0.0804,0.7895,-0.4315,0.0723,6,0.2470,10
2024-04-29T00:16:30,767621790.000000,-0.1535,-0.6747,-0.1993,0.7201,-0.4825,0.0717,6,0.3724,10
2024-04-29T00:17:00,767621820.000000,-0.2244,-0.6234,-0.1827,0.6873,-0.4451,0.0723,6,0.3385,10
2024-04-29T00:17:30,767621850.000000,-0.2574,-0.6606,-0.1372,0.7221,-0.4403,0.0731,6,0.1895,10
2024-04-29T00:18:00,767621880.000000,-0.2957,-0.6490,-0.1887,0.7377,-0.4758,0.0730,6,0.1263,9
2024-04-29T00:18:30,767621910.000000,-0.3530,-0.6865,-0.2593,0.8143,-0.5364,0.0726,6,0.2364,9
2024-04-29T00:19:00,767621940.000000,-0.4257,-0.7297,-0.3179,0.9026,-0.5884,0.0726,6,0.1363,9
2024-04-29T00:19:30,767621970.000000,-0.4707,-0.7703,-0.3023,0.9520,-0.5988,0.0731,7,0.3689,9
2024-04-29T00:20:00,767622000.000000,-0.5354,-0.8470,-0.4373,1.0933,-0.7119,0.0733,8,0.3904,8
2024-04-29T00:20:30,767622030.000000,-0.5504,-0.8798,-0.4409,1.1276,-0.7433,0.0866,8,0.1921,8
2024-04-29T00:21:00,767622060.000000,-0.5112,-0.7881,-0.1343,0.9490,-0.4954,0.0770,8,0.5912,8
2024-04-29T00:21:30,767622090.000000,-0.5202,-0.7827,-0.1504,0.9517,-0.4879,0.0729,8,0.2249,8
2024-04-29T00:22:00,767622120.000000,-0.5399,-0.8006,-0.0195,0.9658,-0.4160,0.0687,8,1.2472,8
2024-04-29T00:22:30,767622150.000000,-0.5685,-0.8176,-0.0290,0.9963,-0.4128,0.0664,8,1.5488,8
2024-04-29T00:23:00,767622180.000000,-0.5979,-0.8238,0.0432,1.0189,-0.3698,0.0639,7,0.7719,8
2024-04-29T00:23:30,767622210.000000,-0.6227,-0.8088,0.2634,1.0542,-0.2619,0.0610,6,0.3345,8
2024-04-29T00:24:00,767622240.000000,-0.6480,-0.8150,0.3080,1.0858,-0.2363,0.0570,6,0.2199,8
2024-04-29T00:24:30,767622270.000000,-0.6844,-0.7947,0.4742,1.1510,-0.1498,0.0523,7,0.4223,8
2024-04-29T00:25:00,767622300.000000,-0.7266,-0.7756,0.5730,1.2074,-0.0881,0.0466,7,0.5098,8
2024-04-29T00:25:30,767622330.000000,-0.8320,-0.5721,1.2855,1.6346,0.3035,0.0357,7,0.3678,9
2024-04-29T00:26:00,767622360.000000,-0.8442,-0.5909,1.0994,1.5068,0.2344,0.0276,7,0.4796,9
