time,gps_sod,dE_m,dN_m,dU_m,d3_m,clock_m,trop_m,n_sat,ph_res_std_m,n_B_sv
2024-04-29T00:00:00,767620800.000000,0.4581,0.1597,-2.0813,2.1371,-1.7837,0.1210,9,0.1518,9
2024-04-29T00:00:30,767620830.000000,0.3109,-0.4147,-2.8788,2.9251,-2.6113,0.3424,9,0.1037,9
2024-04-29T00:01:00,767620860.000000,0.2025,-0.5367,-3.1836,3.2349,-2.8853,0.3927,9,0.2904,9
2024-04-29T00:01:30,767620890.000000,0.1722,-0.6061,-2.9808,3.0467,-2.7247,0.3820,9,0.1156,9
2024-04-29T00:02:00,767620920.000000,0.1955,-0.6803,-2.7928,2.8811,-2.5469,0.3424,9,0.2322,9
2024-04-29T00:02:30,767620950.000000,0.2299,-0.7822,-2.6575,2.7798,-2.4753,0.3411,11,0.2358,9
2024-04-29T00:03:00,767620980.000000,0.2574,-0.8961,-2.6003,2.7624,-2.4777,0.3512,11,0.2196,9
2024-04-29T00:03:30,767621010.000000,0.2640,-0.9439,-2.4609,2.6489,-2.3836,0.3516,11,0.1784,11
2024-04-29T00:04:00,767621040.000000,0.2770,-1.0099,-2.3174,2.5430,-2.2856,0.3439,11,0.1255,11
2024-04-29T00:04:30,767621070.000000,0.2855,-1.0541,-2.1794,2.4377,-2.1970,0.3369,11,0.0945,11
2024-04-29T00:05:00,767621100.000000,0.2976,-1.1035,-2.0682,2.3630,-2.1429,0.3336,11,0.4351,11
2024-04-29T00:05:30,767621130.000000,0.2921,-1.1552,-1.9870,2.3169,-2.1311,0.3418,11,0.1169,11
2024-04-29T00:06:00,767621160.000000,0.2912,-1.2012,-1.9636,2.3202,-2.1127,0.3375,10,0.1843,11
2024-04-29T00:06:30,767621190.000000,0.3000,-1.3544,-2.0491,2.4745,-2.2124,0.3450,10,0.0983,11
2024-04-29T00:07:00,767621220.000000,0.2805,-1.3881,-1.9683,2.4248,-2.1472,0.3364,10,0.2596,11
2024-04-29T00:07:30,767621250.000000,0.2703,-1.4375,-1.8839,2.3851,-2.0779,0.3300,10,0.1380,11
2024-04-29T00:08:00,767621280.000000,0.2809,-1.4283,-1.7635,2.2867,-2.0021,0.3261,11,0.1079,11
2024-04-29T00:08:30,767621310.000000,0.2896,-1.4229,-1.6379,2.1889,-1.9247,0.3223,11,0.3066,11
2024-04-29T00:09:00,767621340.000000,0.2900,-1.4635,-1.5728,2.1678,-1.8921,0.3206,11,0.4283,12
2024-04-29T00:09:30,767621370.000000,0.2901,-1.5232,-1.5442,2.1883,-1.8994,0.3186,10,0.4078,12
2024-04-29T00:10:00,767621400.000000,0.2962,-1.5894,-1.5287,2.2250,-1.8996,0.3132,10,0.3667,12
2024-04-29T00:10:30,767621430.000000,0.2998,-1.6514,-1.4886,2.2434,-1.8905,0.3073,9,0.4606,12
2024-04-29T00:11:00,767621460.000000,0.2985,-1.7059,-1.4590,2.2644,-1.8841,0.3034,9,0.7921,11
2024-04-29T00:11:30,767621490.000000,0.3034,-1.7808,-1.4017,2.2865,-1.8609,0.2998,9,0.3731,11
2024-04-29T00:12:00,767621520.000000,0.3131,-1.8395,-1.3429,2.2989,-1.8315,0.2916,9,0.2302,11
2024-04-29T00:12:30,767621550.000000,0.3864,-1.8314,-1.0887,2.1653,-1.6323,0.2769,9,0.1524,11
2024-04-29T00:13:00,767621580.000000,0.3642,-1.8712,-1.0224,2.1632,-1.6061,0.2739,9,0.3043,11
2024-04-29T00:13:30,767621610.000000,0.3257,-1.9126,-0.9222,2.1482,-1.5407,0.2624,8,0.5334,11
2024-04-29T00:14:00,767621640.000000,0.2864,-1.9666,-0.8850,2.1755,-1.5311,0.2529,7,0.0400,11
2024-04-29T00:14:30,767621670.000000,0.2508,-2.0484,-0.8888,2.2470,-1.5712,0.2450,6,0.1136,10
2024-04-29T00:15:00,767621700.000000,0.1892,-2.0850,-0.8844,2.2727,-1.5961,0.2407,6,0.0977,10
2024-04-29T00:15:30,767621730.000000,0.1523,-2.1342,-0.8383,2.2980,-1.6033,0.2387,6,0.0481,9
2024-04-29T00:16:00,767621760.000000,0.1257,-2.1890,-0.7876,2.3297,-1.6190,0.2362,7,0.3495,9
2024-04-29T00:16:30,767621790.000000,0.0801,-2.1778,-0.9046,2.3596,-1.7247,0.2362,6,0.2487,9
2024-04-29T00:17:00,767621820.000000,-0.0940,-1.2540,-0.5951,1.3912,-1.0918,0.2315,6,0.1440,10
2024-04-29T00:17:30,767621850.000000,-0.1435,-1.1724,-0.5321,1.2955,-1.0055,0.2312,6,0.1381,10
2024-04-29T00:18:00,767621880.000000,-0.1842,-1.1725,-0.5743,1.3185,-1.0319,0.2311,6,0.1822,10
2024-04-29T00:18:30,767621910.000000,-0.2312,-1.2460,-0.6366,1.4182,-1.0947,0.2311,6,0.1755,9
2024-04-29T00:19:00,767621940.000000,-0.2972,-1.2740,-0.6510,1.4612,-1.1008,0.2313,7,0.4715,8
2024-04-29T00:19:30,767621970.000000,-0.3486,-1.3341,-0.6716,1.5338,-1.1363,0.2317,8,0.2081,7
2024-04-29T00:20:00,767622000.000000,-0.2798,-1.1548,-0.4592,1.2739,-0.8485,0.2125,8,0.2298,8
2024-04-29T00:20:30,767622030.000000,-0.2953,-1.1164,-0.4372,1.2348,-0.7658,0.1936,9,0.3156,9
2024-04-29T00:21:00,767622060.000000,-0.3037,-1.1471,-0.3205,1.2292,-0.7142,0.2002,9,0.5622,9
2024-04-29T00:21:30,767622090.000000,-0.2975,-1.1147,-0.2268,1.1758,-0.6170,0.1923,9,0.6333,9
2024-04-29T00:22:00,767622120.000000,-0.3079,-1.1377,-0.1775,1.1919,-0.5915,0.1912,9,0.8126,9
2024-04-29T00:22:30,767622150.000000,-0.3361,-1.1752,-0.1571,1.2324,-0.5841,0.1918,7,0.9262,9
2024-04-29T00:23:00,767622180.000000,-0.3796,-1.2273,0.0298,1.2850,-0.5065,0.1915,6,0.4805,9
2024-04-29T00:23:30,767622210.000000,-0.4103,-1.2469,0.3863,1.3683,-0.3574,0.1910,6,0.0560,9
2024-04-29T00:24:00,767622240.000000,-0.4678,-1.2497,0.7861,1.5487,-0.1835,0.1909,7,0.3696,9
2024-04-29T00:24:30,767622270.000000,-42.6609,6.7139,232.3223,236.3021,96.6410,1.4378,8,4.2673,9
2024-04-29T00:25:00,767622300.000000,-36.8624,11.0402,198.9761,202.6628,80.7272,1.5323,8,12.3768,10
2024-04-29T00:25:30,767622330.000000,-34.1351,16.6207,186.1713,190.0031,75.0207,1.5327,8,11.5058,10
2024-04-29T00:26:00,767622360.000000,-32.0783,22.1027,177.1216,181.3549,71.2279,1.5212,8,10.9046,10
2024-04-29T00:26:30,767622390.000000,-30.3604,27.3781,169.7488,174.6023,68.3701,1.4994,8,10.5586,10
2024-04-29T00:27:00,767622420.000000,-28.8056,32.4083,163.2071,168.8686,66.0198,1.4682,8,10.1465,10
2024-04-29T00:27:30,767622450.000000,-27.3612,37.1897,157.1748,163.8158,64.0348,1.4276,9,9.7467,9
2024-04-29T00:28:00,767622480.000000,-25.9744,41.6410,151.2995,159.0603,62.2251,1.3782,9,9.6641,8
2024-04-29T00:28:30,767622510.000000,-24.0667,46.1898,144.9731,154.0452,59.8389,1.3900,7,12.8990,9
2024-04-29T00:29:00,767622540.000000,-21.8573,50.7722,139.0088,149.5961,57.5302,1.4251,9,9.5192,9
