time,gps_sod,dE_m,dN_m,dU_m,d3_m,clock_m,n_sat
2024-04-29T00:00:00,767620800.000000,7.0837,-9.2159,10.8672,15.9125,5.5466,9
2024-04-29T00:00:30,767620830.000000,24.6409,636.5490,3498.2437,3555.7715,6286.0574,9
2024-04-29T00:01:00,767620860.000000,113.5015,992.0950,4259.1397,4374.6321,9358.8074,10
2024-04-29T00:01:30,767620890.000000,149.9980,1702.6387,5695.5260,5946.4690,12923.0838,11
2024-04-29T00:02:00,767620920.000000,195.6680,2540.4111,6878.3387,7335.0881,16184.2694,11
2024-04-29T00:02:30,767620950.000000,232.3740,3430.7284,7687.6570,8421.6367,19072.9608,11
2024-04-29T00:03:00,767620980.000000,266.9205,4333.2168,8187.2509,9267.0973,21622.0098,11
2024-04-29T00:03:30,767621010.000000,303.7069,5225.4954,8420.7539,9914.9955,23861.9415,11
2024-04-29T00:04:00,767621040.000000,324.1442,6093.8801,8179.1857,10204.8774,25629.9462,10
2024-04-29T00:04:30,767621070.000000,394.9280,6865.6404,8066.7534,10600.2593,27358.4879,10
2024-04-29T00:05:00,767621100.000000,484.7648,7544.9115,7819.8636,10877.0839,28843.9209,10
2024-04-29T00:05:30,767621130.000000,603.1644,8118.0467,7465.3459,11045.2650,30096.5762,10
2024-04-29T00:06:00,767621160.000000,741.7644,8571.8105,7032.2841,11112.1181,31124.1353,10
2024-04-29T00:06:30,767621190.000000,901.5356,8899.9064,6548.5634,11086.2429,31931.7398,10
2024-04-29T00:07:00,767621220.000000,1073.7548,8616.5471,5304.8880,10175.4444,31997.0200,11
2024-04-29T00:07:30,767621250.000000,1280.1096,8561.2661,4707.1812,9853.5026,32280.7592,11
2024-04-29T00:08:00,767621280.000000,1498.2700,8361.9101,4133.4871,9447.3313,32337.1656,11
2024-04-29T00:08:30,767621310.000000,1893.7048,8036.4209,2899.3424,8750.7923,31612.2270,10
2024-04-29T00:09:00,767621340.000000,2108.4113,7423.9888,2817.6637,8215.8528,31517.9481,9
2024-04-29T00:09:30,767621370.000000,2297.9801,6948.6016,2386.6455,7698.0422,30808.4764,9
2024-04-29T00:10:00,767621400.000000,2466.1919,6383.9779,2013.3068,7133.7705,29823.5615,9
2024-04-29T00:10:30,767621430.000000,2596.3347,5758.7017,1699.7148,6541.6076,28541.9739,9
2024-04-29T00:11:00,767621460.000000,2674.4179,5089.7254,1422.0206,5922.8336,26936.5220,9
2024-04-29T00:11:30,767621490.000000,2656.8193,4238.8616,1752.4666,5300.7335,25462.1629,8
2024-04-29T00:12:00,767621520.000000,2605.3247,3605.2389,1374.0474,4655.4775,23024.6861,8
