time,dE_m,dN_m,dU_m,d3_m,n_sat
2024-04-29T00:00:00,2710231.0945544075,-1828533.5342937233,-3105130.0047612493,4508959.948635037,5
2024-04-29T00:00:10,2720279.926728982,-1672554.6001570793,-3323554.712276114,4609053.882931291,5
2024-04-29T00:00:20,2730234.4841765338,-1514858.1369120555,-3544810.550844181,4723839.260065015,5
2024-04-29T00:00:30,2740079.042217927,-1355403.4072900312,-3769000.2480501416,4852887.225549072,5
2024-04-29T00:00:40,2749798.473730222,-1194148.688285379,-3996228.2540186844,4995720.467968556,5
2024-04-29T00:00:50,2759373.3337815627,-1031045.6974858334,-4226612.515378056,5151839.456023376,5
2024-04-29T00:01:00,2768785.7161421087,-866046.6258906728,-4460271.218641291,5320735.893085566,5
2024-04-29T00:01:10,2778017.2089126473,-699099.7471377926,-4697330.424491799,5501911.775584851,5
2024-04-29T00:01:20,2787048.675513642,-530150.6503178163,-4937921.751242924,5694889.924582628,5
2024-04-29T00:01:30,2795859.1077610967,-359141.551498323,-5182186.362645294,5899225.906985607,5
2024-04-29T00:01:40,2804425.0764009194,-186008.25821156334,-5430274.50289071,6114513.902021497,5
2024-04-29T00:01:50,2812727.9205781794,-10688.948655028129,-5682336.800802814,6340386.7489752835,5
2024-04-29T00:02:00,2820741.5626108185,166887.54144062707,-5938540.291332145,6576526.074327045,5
2024-04-29T00:02:10,2828442.188413204,346794.5674436018,-6199058.837961401,6822659.464000194,5
2024-04-29T00:02:20,2835806.2365057347,529108.2822479261,-6464071.144532904,7078556.93958388,5
2024-04-29T00:02:30,2842805.5164786363,713913.3979233039,-6733774.773663369,7344041.002519044,5
2024-04-29T00:02:40,2849415.9549220786,901293.4688717683,-7008366.163611535,7618969.581541225,5
2024-04-29T00:02:50,2855604.0031097047,1091346.5709111136,-7288069.425039942,7903256.765702204,5
2024-04-29T00:03:00,2861341.279662102,1284169.5819020367,-7573109.368964391,8196850.062559217,5
2024-04-29T00:03:10,2866598.6848263447,1479865.934605232,-7863724.237380379,8499738.23631156,5
2024-04-29T00:03:20,2871340.129950338,1678549.237887732,-8160172.220670741,8811953.94659341,5
2024-04-29T00:03:30,2875531.1514964467,1880339.3543490963,-8462727.18470639,9133570.325645333,5
2024-04-29T00:03:40,2879139.2111184383,2085359.14234243,-8771667.92876166,9464688.246425062,5
2024-04-29T00:03:50,2882123.2069912455,2293745.6161731547,-9087305.306633055,9805458.728073478,5
2024-04-29T00:04:00,2884444.655152001,2505642.0604995517,-9409960.391386518,10156063.099028211,5
2024-04-29T00:04:10,2886060.5016055824,2721202.6068842723,-9739980.001579618,10516724.740992917,5
2024-04-29T00:04:20,2886928.066044777,2940588.474844371,-10077725.733519575,10887698.1128679,5
2024-04-29T00:04:30,2886999.474879661,3163976.1195206656,-10423590.455230214,11269283.421372402,5
2024-04-29T00:04:40,2886227.4147331235,3391551.0170744043,-10777987.677200597,11661815.697431657,5
2024-04-29T00:04:50,2884560.941876592,3623513.061791621,-11141360.398172196,12065672.391472189,5
2024-04-29T00:05:00,2881941.974412971,3860076.8504683045,-11514182.924196925,12481273.62280279,5
2024-04-29T00:05:10,2878315.877433662,4101470.440182207,-11896959.46292372,12909082.326967528,5
2024-04-29T00:05:20,2873617.601926956,4347944.25125207,-12290238.919149157,13349616.849328259,5
2024-04-29T00:05:30,2867789.6408418864,4599752.656342392,-12694583.37948569,13803419.471361553,5
2024-04-29T00:05:40,2860757.7129751556,4857187.258268104,-13110629.543812249,14271118.028707892,5
2024-04-29T00:05:50,2852446.0884325164,5120554.2667277455,-13539046.141658181,14753382.49730776,5
2024-04-29T00:06:00,2842778.699159967,5390182.239620997,-13980549.761854518,15250941.838208344,5
2024-04-29T00:06:10,2831667.698247321,5666431.357696048,-14435923.769556966,15764602.163240217,5
2024-04-29T00:06:20,2819029.152429376,5949678.345639837,-14905988.558972497,16295216.865664637,5
2024-04-29T00:06:30,2804764.8522869423,6240343.698128034,-15391654.495210163,16843741.373201907,5
2024-04-29T00:06:40,2788771.622149854,6538878.099368134,-15893897.760237396,17411207.88376797,5
2024-04-29T00:06:50,2770938.611739228,6845768.002957432,-16413769.853354998,17998735.54278879,5
2024-04-29T00:07:00,2751141.7897304217,7161555.889659101,-16952438.58990457,18607574.74934328,5
2024-04-29T00:07:10,2729251.4261171627,7486816.715763847,-17511144.864428904,19239060.06917745,5
2024-04-29T00:07:20,2705133.1117001143,7822173.644003889,-18091230.73682754,19894641.872677654,5
2024-04-29T00:07:30,2678629.5663100164,8168332.255060859,-18694209.65106735,20575961.281569265,5
2024-04-29T00:07:40,2649576.365436506,8526043.482301,-19321694.94430182,21284773.146524858,5
2024-04-29T00:07:50,2617795.6769045484,8896133.8552996,-19975458.211495362,22023010.296883244,5
2024-04-29T00:08:00,2583084.263854113,9279525.800673291,-20657473.304641105,22792830.599368125,5
2024-04-29T00:08:10,2545228.979484543,9677218.642628804,-21369879.632987656,23596578.28465032,5
2024-04-29T00:08:20,2503986.52461555,10090332.526950102,-22115070.84868034,24436880.276787266,5
2024-04-29T00:08:30,-13238865.482826795,34673678.36886242,-70771366.77433291,79913189.68735294,4
2024-04-29T00:08:40,-14738574.265353365,37942000.58566808,-77288968.48345792,87352193.04090267,4
2024-04-29T00:08:50,-16521770.876145374,41808808.21652903,-85022323.09263216,96175572.68578276,4
2024-04-29T00:09:00,-18677981.930586725,46463059.14109431,-94355166.15021224,106820317.60382624,4
2024-04-29T00:09:10,-21338760.357341945,52182491.32477848,-105851487.70920292,119928697.75287391,4
2024-04-29T00:09:20,-24704539.556576807,59390499.06102264,-120370992.11406979,136479747.2006204,4
2024-04-29T00:09:30,-29094909.402022935,68762697.76655613,-139285370.2370072,158035555.2377592,4
2024-04-29T00:09:40,934091084.1251148,-911266217.5618148,2810921043.185633,3099065888.8986626,5
2024-04-29T00:09:50,931214321.6231928,-908778741.0301688,2810842139.6804895,3097397689.5368333,5
2024-04-29T04:04:40,967403072.6476622,3486006317.5254593,-3163604725.6573195,4805882188.630603,4
2024-04-29T04:04:50,1150546974.5345073,2877599200.3535266,-1943587160.1676347,3658123364.1929374,4
2024-04-29T04:05:00,1147897715.84661,2885904383.7478247,-1943416499.0313153,3663738659.7419734,4
2024-04-29T04:05:10,1145184592.592053,2894122323.1299915,-1943187747.0602384,3669246570.1659527,4
2024-04-29T04:05:20,1142403388.396163,2902238692.402972,-1942893442.8688736,3674630574.6078496,4
2024-04-29T04:05:30,1139554800.7269342,2910251228.73162,-1942534416.3090303,3679889579.4220195,4
2024-04-29T04:05:40,1136639632.773341,2918157614.9531918,-1942111577.551588,3685022510.129393,4
2024-04-29T04:05:50,1133658879.7375975,2925956200.7778234,-1941626179.13015,3690029046.4929466,4
2024-04-29T04:06:00,1130613298.6973877,2933644447.0628104,-1941078921.954619,3694907786.9725456,4
2024-04-29T04:06:10,1127503922.6572804,2941220716.40613,-1940471080.427214,3699658418.313575,4
2024-04-29T04:06:20,1124331660.6650043,2948682681.480877,-1939803569.4682746,3704279839.234725,4
2024-04-29T04:06:30,1121097686.6305285,2956028738.26431,-1939077788.8131487,3708771844.624754,4
2024-04-29T04:06:40,1117802779.981307,2963256606.159131,-1938294407.3217988,3713133175.410577,4
2024-04-29T04:06:50,1114448311.8062737,2970364626.1661386,-1937455023.803261,3717363719.267655,4
2024-04-29T04:07:00,1111035243.0607173,2977350705.0573826,-1936560535.0456164,3721462513.3305917,4
2024-04-29T04:07:10,1107564747.3076534,2984213213.1493106,-1935612172.3943875,3725429190.433623,4
2024-04-29T04:07:20,1104037957.614447,2990950060.2701607,-1934611063.2922127,3729262935.3662076,4
2024-04-29T04:07:30,1100456346.905943,2997559996.206174,-1933558772.781881,3732963920.2787514,4
2024-04-29T04:07:40,1096820961.407363,3004040874.4689765,-1932456207.1636858,3736531117.155103,4
2024-04-29T04:07:50,1093133154.9923754,3010391273.4534225,-1931304757.1125634,3739964408.7442493,4
2024-04-29T04:08:00,1089394365.213262,3016609708.8789144,-1930105851.4262233,3743263658.409688,4
2024-04-29T04:08:10,1085605815.2927308,3022694435.901061,-1928860585.8667994,3746428272.199408,4
2024-04-29T04:08:20,1081769029.5574455,3028644041.2240677,-1927570461.2851055,3749458206.8574367,4
2024-04-29T04:08:30,1077885400.8845384,3034457234.058139,-1926236817.022148,3752353383.9471207,4
2024-04-29T04:08:40,1073956497.4123387,3040132428.6716814,-1924861061.2326396,3755113559.8334436,4
2024-04-29T04:08:50,1069983644.8012979,3045668588.140396,-1923444431.611311,3757738765.59081,4
2024-04-29T04:09:00,1065968588.362746,3051064244.384736,-1921988577.1260037,3760229001.715441,4
2024-04-29T04:09:10,1061912749.639568,3056318164.499049,-1920494704.3677938,3762584127.9629407,4
2024-04-29T04:09:20,1057817741.9446537,3061429776.1166673,-1918964380.6221926,3764804768.293218,4
2024-04-29T04:09:30,1053685259.3845015,3066397557.2311106,-1917399102.5523403,3766890750.115488,4
2024-04-29T04:09:40,1049516879.0590442,3071220772.860293,-1915800230.9151013,3768842427.0394707,4
2024-04-29T04:09:50,1045314339.3118106,3075898595.4845667,-1914169407.0268755,3770660254.7130175,4
2024-04-29T04:10:00,1041079317.9560345,3080430175.718913,-1912508094.2515485,3772344552.7063336,4
2024-04-29T04:10:10,1036813609.5018262,3084814904.267702,-1910817884.3523815,3773895923.525352,4
2024-04-29T04:10:20,1032518861.1044718,3089051893.1282043,-1909100184.442028,3775314597.647725,4
2024-04-29T04:10:30,1028196832.0111285,3093140839.1431713,-1907356514.935166,3776601362.4949436,4
2024-04-29T04:10:40,1023849426.3125075,3097081420.3412313,-1905588676.5189345,3777757162.134763,4
2024-04-29T04:10:50,1019478357.4811419,3100872637.662041,-1903798018.0951035,3778782096.1357956,4
2024-04-29T04:11:00,1015085502.125357,3104514997.0558357,-1901986280.197879,3779677731.4515386,4
2024-04-29T04:11:10,1010672673.4861852,3108007641.5469685,-1900154942.8949192,3780444360.1055756,4
2024-04-29T04:11:20,1006241774.1598274,3111350876.124421,-1898305754.0722566,3781083378.9230776,4
2024-04-29T04:11:30,1001794620.3763336,3114544571.263974,-1896440274.815867,3781595703.370277,4
2024-04-29T04:11:40,997333072.6697472,3117588523.592481,-1894560001.9522696,3781982160.3590107,4
2024-04-29T04:11:50,992859090.3930718,3120483250.532071,-1892666781.9552977,3782244365.154687,4
2024-04-29T04:12:00,988374469.4897212,3123228796.03887,-1890762074.5701013,3782383299.849201,4
2024-04-29T04:12:10,983881143.9469618,3125825259.3049726,-1888847541.7132294,3782400123.329034,4
2024-04-29T04:12:20,979380975.5836738,3128273511.206835,-1886924858.8120036,3782296614.367555,4
2024-04-29T04:12:30,974876013.5136551,3130573574.387903,-1884995776.6742811,3782073931.6491427,4
2024-04-29T04:12:40,970368016.7375866,3132726353.7365956,-1883061821.8112392,3781733771.706581,4
2024-04-29T04:12:50,965858873.7179903,3134732409.030133,-1881124618.1244996,3781277623.9093695,4
2024-04-29T04:13:00,961350599.5275308,3136592505.773204,-1879185976.6497917,3780707269.4565763,4
2024-04-29T04:13:10,956844936.5931889,3138307120.8873615,-1877247258.8421478,3780023953.432928,4
2024-04-29T04:13:20,952343790.2362851,3139878348.1864967,-1875310371.6016953,3779230573.284576,4
2024-04-29T04:13:30,947849133.071118,3141305490.756351,-1873376787.814044,3778327507.567354,4
2024-04-29T04:13:40,943362851.1093403,3142590651.127407,-1871448386.405783,3777317637.21127,4
2024-04-29T04:13:50,938886693.7956213,3143735077.9411564,-1869526660.253553,3776202907.347931,4
2024-04-29T04:14:00,934422490.8256108,3144739834.5933743,-1867613200.1157353,3774985176.644491,4
2024-04-29T04:14:10,929972061.8682257,3145605952.5802217,-1865709562.0555289,3773666256.4022536,4
2024-04-29T04:14:20,925537288.9945983,3146335185.3457212,-1863817539.3985116,3772248691.7001495,4
2024-04-29T04:14:30,921119877.6289488,3146928610.0719767,-1861938585.6214094,3770734252.4339433,4
2024-04-29T04:14:40,916721643.8302721,3147388683.3981524,-1860074508.2660975,3769126062.2259636,4
2024-04-29T04:14:50,912344329.328417,3147715818.6039586,-1858226668.9144857,3767425301.583607,4
2024-04-29T04:15:00,907989661.6204654,3147912506.222637,-1856396859.5691936,3765635095.526503,4
2024-04-29T04:15:10,903659171.3819052,3147980555.0630035,-1854586341.824257,3763757693.098546,4
2024-04-29T04:15:20,899354834.1157571,3147921065.770727,-1852796982.9778175,3761795158.4452596,4
2024-04-29T04:15:30,895078078.5370418,3147736460.970235,-1851030221.2248762,3759750320.7376413,4
2024-04-29T04:15:40,890830503.2149612,3147428493.433724,-1849287385.9087086,3757625439.3456736,4
2024-04-29T04:15:50,886613854.61421,3146998868.494314,-1847570279.4530532,3755423004.5384493,4
2024-04-29T04:16:00,882429587.9512788,3146450040.659032,-1845880266.5768478,3753145853.0934954,4
2024-04-29T04:16:10,878279127.5997685,3145784191.4750986,-1844218678.5064714,3750796573.991211,4
2024-04-29T04:16:20,874164124.557536,3145003339.9741855,-1842587205.2256045,3748377853.681954,4
2024-04-29T04:16:30,870085925.798046,3144109256.27454,-1840987092.0823925,3745891884.034704,4
2024-04-29T05:25:00,1213723554.2239008,1849194108.198778,-3226434400.2220454,3911843894.4839253,4
2024-04-29T05:25:10,1220197938.2856207,1850370588.4140618,-3238665295.2606215,3924500887.7295275,4
2024-04-29T05:25:20,1226631131.3037724,1851505182.4965575,-3250827908.5823092,3937077274.363918,4
2024-04-29T05:25:30,1233023616.538603,1852601342.8181283,-3262926998.023046,3949578657.120422,4
2024-04-29T05:25:40,1239374130.557819,1853659225.5013914,-3274960891.365068,3962003230.6590877,4
2024-04-29T05:25:50,1245680598.3594506,1854678091.725182,-3286926885.4770756,3974347660.6264014,4
2024-04-29T05:26:00,1251941297.3502204,1855657808.277386,-3298823152.4549003,3986609725.64462,4
2024-04-29T05:26:10,1258154597.4111536,1856598270.4444296,-3310648154.396395,3998787482.6017356,4
2024-04-29T05:26:20,1264318824.222007,1857499163.7712944,-3322399764.5129237,4010878386.0806236,4
2024-04-29T05:26:30,1270432145.7040915,1858360009.310212,-3334075726.50336,4022879654.066308,4
2024-04-29T05:26:40,1276493167.5052216,1859180853.4300141,-3345674652.776314,4034789602.2814097,4
2024-04-29T05:26:50,1282499901.791869,1859961185.467904,-3357194514.5893617,4046605567.427128,4
2024-04-29T05:27:00,1288451034.730298,1860700943.371593,-3368633635.6322103,4058325595.6951256,4
2024-04-29T05:27:10,1294344854.0950131,1861399714.2019153,-3379989995.7028556,4069947157.937631,4
2024-04-29T05:27:20,1300179849.2412865,1862057423.0869358,-3391262360.6200733,4081468594.2445626,4
2024-04-29T05:27:30,1305954443.474066,1862673741.824809,-3402448957.6453714,4092887658.645833,4
2024-04-29T05:27:40,1311666997.690321,1863248115.9204392,-3413547557.344743,4104201600.8677335,4
2024-04-29T05:27:50,1317316268.2391636,1863780878.208983,-3424557603.9048038,4115409590.187496,4
2024-04-29T05:28:00,1322900446.6974776,1864271246.5892918,-3435476930.304015,4126508767.8790984,4
2024-04-29T05:28:10,1328418491.346573,1864719244.2984078,-3446304235.732856,4137497605.248679,4
2024-04-29T05:28:20,1333868699.7983649,1865124450.4129343,-3457037817.430612,4148373825.3652287,4
2024-04-29T05:28:30,1339249729.9459093,1865486529.4983315,-3467676283.858077,4159135564.0964246,4
2024-04-29T05:28:40,1344560408.410267,1865805525.2943306,-3478218780.7900615,4169781629.4290447,4
2024-04-29T05:28:50,1349799102.6899912,1866080699.9065824,-3488663219.190576,4180309301.130683,4
2024-04-29T05:29:00,1354964784.5485346,1866312110.6162722,-3499008699.0340934,4190717401.2949,4
2024-04-29T05:29:10,1360056105.6123002,1866499320.5573964,-3509253948.6854773,4201004118.114993,4
2024-04-29T05:29:20,1365071897.0742793,1866642164.9380023,-3519397826.4623766,4211167927.904859,4
2024-04-29T05:29:30,1370010747.000778,1866740044.3845034,-3529438664.7014775,4221206596.234782,4
2024-04-29T05:29:40,1374871662.571121,1866792928.9002912,-3539375796.7753086,4231119114.22168,4
2024-04-29T05:29:50,1379653479.6166847,1866800314.9316072,-3549207795.850189,4240903573.2696085,4
