time,X,Y,Z,dE,dN,dU,d3,n_sat
2004-05-03 12:00:00,-2125548269.615547,-143826712.4947573,-5136862001.514934,-1485914910.3188868,1526471692.0927672,-5143715914.125782,5567393676.820364,5
2004-05-03 12:00:10,-2105750540.3295345,-125494250.10237615,-5078465135.827877,-1459124895.665132,1523258535.217992,-5085319048.438725,5505436572.214595,5
2004-05-03 12:00:20,-2077516138.2653325,-107041096.91443832,-5000080632.462557,-1426779274.6903641,1513695004.1620924,-5006934545.073405,5421841495.558558,5
2004-05-03 12:00:30,-2060458300.378305,-89529745.17852317,-4948948992.613233,-1402389296.9785695,1512037819.7374654,-4955802905.224081,5367768302.00633,5
2004-05-03 12:00:40,-2030898131.3293579,-71848241.2788008,-4868129462.676355,-1369773078.391613,1500964362.3078241,-4874983375.287204,5281537201.661197,5
2004-05-03 12:00:50,-2006030820.9669156,-54774436.4423768,-4798944648.439912,-1340659036.4687927,1493073196.4135725,-4805798561.05076,5207910716.526506,5
2004-05-03 12:01:00,-1985643923.5541453,-38192546.93580542,-4740815776.113729,-1314821365.6818104,1488277425.9821951,-4747669688.724577,5146269755.22812,5
2004-05-03 12:01:10,-1955892814.980797,-21836765.3096268,-4660676528.606157,-1283091660.7631667,1476199931.2203581,-4667530441.217006,5060763861.962183,5
2004-05-03 12:01:20,-1931050968.0621932,-5983721.936892263,-4592608184.013555,-1254924298.926949,1467537594.948154,-4599462096.624403,4988341725.153566,5
2004-05-03 12:01:30,-1899403800.8430486,9429873.958064824,-4508722918.565108,-1222684616.4073005,1453405185.3007584,-4515576831.175957,4898752741.475251,5
2004-05-03 12:01:40,-1873885471.0994847,24402305.424340636,-4439762261.905311,-1194750164.308244,1443657096.1116352,-4446616174.516159,4825346533.642612,5
2004-05-03 12:01:50,-1847361380.0066097,38932413.816069126,-4368760466.514971,-1166501413.9177532,1432856190.6146753,-4375614379.125819,4749716160.621342,5
2004-05-03 12:02:00,-1819946548.9361284,52998508.13922588,-4295998756.159382,-1138029381.8042507,1421076065.0016499,-4302852668.77023,4672163219.0574665,5
2004-05-03 12:02:10,-1789326932.0273895,66493380.612365454,-4216029204.0501447,-1107917166.8087478,1406484045.5811303,-4222883116.6609936,4586765705.370643,5
2004-05-03 12:02:20,-1759031695.4450588,79496716.05596414,-4137190189.0045147,-1078389561.536674,1391820873.3754053,-4144044101.6153636,4502576030.021906,5
2004-05-03 12:02:30,-1731164671.580803,92126537.75650121,-4064413322.376206,-1050719090.4224814,1378766048.8435702,-4071267234.987055,4424954612.547014,5
2004-05-03 12:02:40,-1699899075.6891375,104086893.99075867,-3984001491.1111584,-1021357798.4439275,1362688047.069053,-3990855403.7220073,4339011099.258015,5
2004-05-03 12:02:50,-1668305748.3597271,115507074.51251267,-3903179286.73919,-992195865.9269736,1346010500.8835573,-3910033199.350039,4252594093.594036,5
2004-05-03 12:03:00,-1629862538.3004456,125879303.57763977,-3806705376.315136,-959396418.67419,1323434854.8163152,-3813559288.925985,4149115056.642947,5
2004-05-03 12:03:10,-1604315023.0821643,136708800.5743193,-3740711243.0544486,-934599878.6473472,1310981536.3137398,-3747565155.6652975,4078773604.612033,5
2004-05-03 12:03:20,-1567349745.7074075,146055151.82780328,-3648423204.911097,-903539243.314492,1288867673.1083748,-3655277117.521946,3979775602.828967,5
2004-05-03 12:03:30,-1528590821.1892116,154612695.48179805,-3552341130.4911404,-871918082.408594,1264876258.6823654,-3559195043.1019893,3876599340.536903,5
2004-05-03 12:03:40,-1496867866.9656796,163295214.69001335,-3472972642.1792455,-844758232.3542465,1246327013.1587682,-3479826554.7900944,3791588103.457682,5
2004-05-03 12:03:50,-1455607681.6372964,170344913.68383467,-3371825959.2995496,-812666179.0773679,1219453210.567583,-3378679871.9103985,3682793793.8788075,5
2004-05-03 12:04:00,-1419318608.0262742,177336224.4089759,-3282568346.7268715,-783837939.7672591,1196329458.5476193,-3289422259.3377204,3586907426.939521,5
2004-05-03 12:04:10,-1382578163.0212433,183672202.98584193,-3192611950.8316507,-755216736.2296848,1172437375.5125437,-3199465863.4424996,3490206803.2588005,5
2004-05-03 12:04:20,-1340960103.525725,188724723.29858157,-3091744615.846586,-724414721.7261839,1143997496.1139023,-3098598528.457435,3381541039.3379946,5
2004-05-03 12:04:30,-1299618821.569912,193140979.40985608,-2991882608.771735,-694276767.5752804,1115356465.5565283,-2998736521.382584,3273906076.83349,5
2004-05-03 12:04:40,-1253356108.5367951,196121422.35731143,-2881059904.245333,-662045717.1931225,1082035585.4869628,-2887913816.856182,3154227600.1428165,5
2004-05-03 12:04:50,-1209418674.1757867,198734407.20186108,-2775960339.617426,-631600525.9792565,1050248541.5857613,-2782814252.228275,3040723003.814242,5
2004-05-03 12:05:00,-1157021058.0127175,199194258.10211495,-2651820460.9551163,-597317101.6101657,1010620666.8515338,-2658674373.565965,2906319197.3353143,5
2004-05-03 12:05:10,-1105570477.4160526,198986043.48692808,-2530255934.2224774,-564156032.7626067,971281766.1303984,-2537109846.8333263,2774632709.642567,5
