time,dE_m,dN_m,dU_m,d3_m,n_sat
2024-05-02T00:14:00,nan,nan,nan,nan,10
2024-05-02T00:14:30,nan,nan,nan,nan,10
2024-05-02T00:15:00,nan,nan,nan,nan,10
2024-05-02T00:15:30,nan,nan,nan,nan,10
2024-05-02T00:16:00,nan,nan,nan,nan,10
2024-05-02T01:01:30,nan,nan,nan,nan,10
2024-05-02T01:02:00,nan,nan,nan,nan,10
2024-05-02T01:02:30,nan,nan,nan,nan,9
2024-05-02T01:03:00,nan,nan,nan,nan,9
2024-05-02T01:48:30,nan,nan,nan,nan,11
2024-05-02T01:49:00,nan,nan,nan,nan,11
2024-05-02T01:49:30,nan,nan,nan,nan,11
2024-05-02T01:50:00,nan,nan,nan,nan,11
2024-05-02T01:50:30,nan,nan,nan,nan,11
2024-05-02T02:35:30,nan,nan,nan,nan,11
2024-05-02T02:36:00,nan,nan,nan,nan,9
2024-05-02T02:36:30,nan,nan,nan,nan,9
2024-05-02T02:37:00,nan,nan,nan,nan,10
2024-05-02T02:37:30,nan,nan,nan,nan,8
2024-05-02T03:20:30,nan,nan,nan,nan,1
2024-05-02T03:21:00,nan,nan,nan,nan,1
2024-05-02T03:21:30,nan,nan,nan,nan,1
2024-05-02T03:22:30,nan,nan,nan,nan,8
2024-05-02T03:23:00,nan,nan,nan,nan,8
2024-05-02T03:23:30,nan,nan,nan,nan,10
2024-05-02T03:24:00,nan,nan,nan,nan,11
2024-05-02T03:24:30,nan,nan,nan,nan,11
